table of content,table of content-href,requirements quests,levels,other,"items required	"
Recipe for Disaster/Freeing the Lumbridge Guide,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_the_Lumbridge_Guide,"Big Chompy Bird Hunting
Biohazard
Demon Slayer
Murder Mystery
Nature Spirit
Witch's House",40 Cooking,,"A bucket of milk
An egg
A pot of flour
A cake tin
Recommended:

Necklace of passage (for quick transportation to Wizards' Tower)"
Monkey Madness I,https://oldschool.runescape.wiki/w/Monkey_Madness_I,"The Grand Tree
Tree Gnome Village",,"The ability to defeat a level 195 Jungle Demon

Recommended:
43+ Prayer Prayer HIGHLY RECOMMENDED  as the player will be attacked by numerous hard-hitting melee enemies in multicombat","A gold bar
A ball of wool
Monkey bones or corpse from Karamja (obtainable during quest; you will not be able to use melee to kill the monkey)
Recommended:

Poison cures such as antipoison potions  or antidote++ potions
Energy-restoring items such as energy potions and stamina potions
Prayer potions
A knife for free healing  as there are pineapple plants around Ape Atoll
High healing food
Weight-reducing clothing
Emergency teleport (a ring of life works as well)
Ardougne cloak 1 or Ardougne teleports 
A ring of dueling to bank quickly (the Ardougne cloak could be used instead  somewhat further from a bank; the Battlefield of Khazard has a spirit tree  the gnome stronghold has a bank and the glider service)
1-2 lockpicks
200 000 coins (if skipping the puzzle)"
Throne of Miscellania,https://oldschool.runescape.wiki/w/Throne_of_Miscellania,"Heroes' Quest
The Fremennik Trials","45 Woodcutting
10 Farming
30 Mining
35 Fishing",,"An iron bar
Logs (Obtainable during the quest if you bring an axe)
A pickaxe (if 30 Mining)  an axe (if 45 Woodcutting)  a rake (if 10 Farming and 35 Herblore)  or a harpoon or lobster pot (if 35 Fishing)
Any non-silver ring (not onyx/dragonstone/explorer)
Flowers (can be bought from Flower Girl in Miscellania for 15 coins; Trollweiss and White lily will not work.)
If female: a cake (chocolate cakes work too)
If male: any bow (except composite  ogre  training and magic bows!) you are willing to lose
Recommended:

Some energy potions to save time
A Dramen/Lunar staff for fairy rings
Weight-reducing clothing
Fremennik sea boots 2 for the shortcut between Miscellania and Etceteria"
Spirits of the Elid,https://oldschool.runescape.wiki/w/Spirits_of_the_Elid,null,"33 Magic (boostable)
37 Ranged (boostable)
37 Mining
37 Thieving (boostable)",Ability to defeat three level 75 golems,"Runes for Telekinetic Grab
Needle
Two thread
Crush weapon
Stab weapon
Slash weapon
Light source
Knife
Rope
Pickaxe (can be obtained during the quest)
Bow and arrows; a crystal bow will also work (can be obtained during the quest)
Recommended:

Desert clothing to protect you from the desert heat
A few waterskins
Nardah teleports"
Ernest the Chicken,https://oldschool.runescape.wiki/w/Ernest_the_Chicken,null,,The ability to defend from a level 22 Skeleton.,"A spade (can be obtained during the quest)
1 Fish food (can be obtained during the quest)
1 Poison (can be obtained during the quest)
Recommended:

Amulet of glory or Draynor Manor Teleport for Draynor Village teleports"
Darkness of Hallowvale,https://oldschool.runescape.wiki/w/Darkness_of_Hallowvale,In Aid of the Myreque,"5 Construction
20 Mining (not boostable)
22 Thieving
26 Agility
32 Crafting
33 Magic
40 Strength",,"8 nails
2 planks
A hammer
A knife (obtainable during the quest)
Normal spellbook for Telekinetic Grab
1 air rune (or staff of air) and 1 law rune (runes can be obtained during quest)
Recommended:

Energy  Super Energy  or Stamina potions (keep with you for the entirety of the quest)
High Thieving Thieving (to have a better success rate at tricking Vyrewatch)
Vyrewatch outfit (legs  top and shoes) as disguise  can be bought for 1950 coins from Trader Sven or from other players)
Methods of teleportation to Burgh de Rott  Paterdomus and Varrock. A Dramen or Lunar staff for the use of fairy rings or a Kharyrll portal in your house may be useful. An even faster method is the Mort'ton teleport scroll or the Salve Graveyard Teleport. Morytania Legs 3 are the best way to teleport to Burgh De Rott.
Food (to heal against Vanstrom)
A high-level pickaxe to speed up sections of the quest. A Bronze pickaxe can be obtained during the quest if you do not bring one.
Catspeak amulet (if you want to talk to the cats around Meiyerditch)"
Elemental Workshop I,https://oldschool.runescape.wiki/w/Elemental_Workshop_I,null,"20 Mining (30 if mining the coal)
20 Smithing
20 Crafting",,"A knife or any edged weapon (e.g. dagger)
A pickaxe
A needle (obtainable during the quest)
Thread
Leather (obtainable during the quest)
A hammer
4 coal (more if you would like to produce multiple bars)
Recommended:

Camelot teleport
Combat equipment for lower levels"
Temple of Ikov,https://oldschool.runescape.wiki/w/Temple_of_Ikov,null,"42 Thieving (boostable)
40 Ranged",The ability to defeat a level 84 enemy with Ranged,"A yew  magic  or dark bow (yew comp bow or better will work as well) (must be able to fire Ice arrows  so crossbows won't work!)
A knife (or any slash weapon)
20 unnoted limpwurt roots
A light source
Recommended:
(Law and air runes for Telekinetic Grab if not planning on banking during the quest) 

Varrock teleports
Ardougne teleports (if Plague City has been completed)
Weight-reducing clothing  such as the graceful outfit  to stay below -1kg weight (saves a bank trip)
Ava's accumulator (however  this weighs 4kg)
Do not bring anything unnecessary! (need to have at least 1 inventory space free and a maximum weight of -1 kg)"
The Queen of Thieves,https://oldschool.runescape.wiki/w/The_Queen_of_Thieves,Client of Kourend,20 Thieving,20% Port Piscarilius favour,"1 stew — Items to make the stew can be purchased in the area. Servery stew will not work! Requires 25 Cooking.
Recommended:

Stamina potion
Xeric's talisman"
Mountain Daughter,https://oldschool.runescape.wiki/w/Mountain_Daughter,null,20 Agility,The ability to defeat a level 70 monster (can be safespotted),"A rope
A pickaxe
An axe
A plank
A spade
A staff or a pole (obtainable during the quest) (a  Lunar staff also works)
A pair of gloves (excluding: Slayer  Mystic  Ranger  Moonclan  Lunar  Infinity  and vambraces)"
Observatory Quest,https://oldschool.runescape.wiki/w/Observatory_Quest,null,10 Crafting,The ability to defeat a level 42 monster.,"3 planks of wood (can be found at Port Khazard)
A bronze bar (Tin and copper rocks can be found north of the Observatory or just south of Port Khazard.)
Molten glass (Soda ash and buckets of sand can be bought from Trader Crewmember in Port Khazard and made into molten glass in East Ardougne.)
Lens mould (Obtained during the quest)
Recommended:

Antipoison (A 1-dose Superantipoison spawns in a house next to the entrance to the Observatory Dungeon.)
Some food
A ring of dueling to get to the Observatory
Energy potions"
Rag and Bone Man II,https://oldschool.runescape.wiki/w/Rag_and_Bone_Man_II,"
Rag and Bone Man
Zogre Flesh Eaters
The Fremennik Trials
Horror from the Deep
Creature of Fenkenstrain
Skippy and the Mogres","40 Slayer
20 Defence",The ability to kill several high-level monsters,"Some coins
27 pots
27 jugs of vinegar
27 sets of logs (any logs - normal logs can be obtained on the path just below the Odd old man's hut if you have an axe in your inventory).
Tinderbox
Dusty key if under 70 Agility
Anti-dragon shield
Dramen staff or Lunar staff would save a great deal of time by using Fairy rings
Combat gear to kill Zogres (an ogre composite bow with brutal arrows is advised)
Light source
Rope
Slayer equipment:

Fishing explosive
Mirror shield (recommended  but not required)
Spiny helmet (recommended  but not required)
Ice cooler
Recommended items:

Ectophial
Relicym's balm for killing Zogres
Games necklace
Enchanted lyre
Ring of dueling
Digsite pendant"
Recipe for Disaster/Freeing the Goblin generals,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_the_Goblin_generals,Goblin Diplomacy,,,"Bread
An orange
A knife
Blue dye  Green dye or Purple dye (Only one dye is needed. Easiest option is to grab the Purple dye spawn directly east of the spirit tree teleport to the Khazard Battlefield)
Spice (buy or steal in Ardougne or buy from the Culinaromancer's Chest) or Gnome spice (buy in the Tree Gnome Stronghold)
Fishing bait
A bucket of water
Charcoal (buy in Shilo Village or Tai Bwo Wannai general store)"
